,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
1569,ServiceFacility,47.66106,-122.38576,0.3010299956639812,4.621020406503193,ServiceFacility,ServiceFacility,None,89.0,6.112141053972688,1.0013009330204181,100.0,0.0,0.0,79.9,20.1,0.0,20.1,0.0,8,2
1570,ServiceFacility,47.66206,-122.38948,0.3010299956639812,4.754997762422381,ServiceFacility,None,None,71.0,6.142497752457469,1.585347911094591,56.58,0.0,43.42,100.0,0.0,0.0,0.0,0.0,56,1
1573,Store,47.6917,-122.37617,0.3010299956639812,4.516019466834195,Store,None,None,66.0,6.304914436525449,1.6761446803562061,65.23,0.0,34.77,100.0,0.0,0.0,0.0,0.0,27,1
1576,ServiceFacility,47.64455,-122.37581,0.3010299956639812,4.491221576239283,ServiceFacility,None,None,,4.9898563265182005,0.2253092817258629,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36,1
1577,ServiceFacility,47.64418,-122.37587,0.3010299956639812,4.601549395277767,ServiceFacility,None,None,,4.756896144786158,0.146128035678238,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,101,1
1581,ServiceFacility,47.65504,-122.37402,0.3010299956639812,4.301529147360923,ServiceFacility,None,None,80.0,5.817820987673921,0.7466341989375788,100.0,0.0,0.0,103.81,0.0,0.0,0.0,0.0,55,1
1582,ServiceFacility,47.65563,-122.37194,0.3010299956639812,4.562280965814523,ServiceFacility,ServiceFacility,None,89.0,5.716014044268451,1.1989318699322091,53.39,0.0,46.61,49.95,47.13,0.0,0.0,0.0,56,2
1583,ServiceFacility,47.66161,-122.39075,0.3010299956639812,4.555662651664352,ServiceFacility,ServiceFacility,None,,5.671636348176062,1.082066934285113,63.95,0.0,36.05,88.59,11.41,0.0,0.0,0.0,48,2
1584,ServiceFacility,47.66006,-122.38631,0.3010299956639812,4.479330527707678,ServiceFacility,ServiceFacility,None,96.0,5.9268799006837005,0.8413594704548549,99.88,0.0,0.12,83.52,16.48,0.0,18.84,0.0,9,2
1585,ServiceFacility,47.65881,-122.38382,0.3010299956639812,4.349588320562463,ServiceFacility,None,None,71.0,5.8617654230447895,0.7831886910752576,100.0,0.0,0.0,96.66,0.0,0.0,0.0,0.0,37,1
